,"target","match"
"5","Ash","Ash"
"6","Basswood","Other hardwood"
"7","Beech","Beech"
"8","Birch","Birch"
"9","Cherry","Other hardwood"
"10","Dogwood","Other hardwood"
"11","Elm","Elm"
"12","Fir","Other conifer"
"13","Hemlock","Hemlock"
"14","Hickory","Other hardwood"
"15","Ironwood","Other hardwood"
"16","Maple","Maple"
"17","Oak","Oak"
"18","Pine","Pine"
"19","Spruce","Spruce"
"20","Tamarack","Tamarack"
"21","Walnut","Other hardwood"
"22","Other hardwood","Other hardwood"
"23","Black gum/sweet gum","Other hardwood"
"24","Cedar/juniper","Other conifer"
"25","Poplar/tulip poplar","Other hardwood"
